id,start,label,gender,location,held_roles,business_type,bal,xDAI_blockchain_address,confidence,ovol_in,ovol_out,otxns_in,otxns_out,ounique_in,ounique_out,svol_in,svol_out,stxns_in,stxns_out,sunique_in,sunique_out
1,2020-01-25 19:10:50.218686,1,,None,ADMIN,System,8916760.86896847,0xBDB3Bc887C3b70586BC25D04d89eC802b897fC5F,0,5026493.25,13945324.1189685,19917,52610,9,19862,0,0,0,0,0,0
2,2018-10-23 09:09:58,2,female,GE Office,TOKEN_AGENT,Savings Group,180000.01,0x245fc81fe385450Dc0f4787668e47c903C00b0A1,0,2871676,2691675.99,134,16,68,0,0,0,0,0,0,0
3,2018-10-21 14:20:57,3,male,GE Nairobi,BENEFICIARY,Farming/Labour,56.660892016264,0xC1697C1326fD192438515fE2F7E4cCb0C705C5d2,0,9103.66089201626,40,2,2,1,0,0,9007,0,1,0,1
4,2018-10-21 15:38:30,4,male,GE Nairobi,BENEFICIARY,Farming/Labour,11737.7260015591,0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31,0.1,85567.7260015591,44000,6,1,1,0,20619,50449,20,15,11,5
5,2018-10-23 14:10:27,5,male,G.E,BENEFICIARY,Farming/Labour,7297.26257631998,0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,0.40506329113924,48908.96257632,100,15,1,1,0,127393.3,168905,158,208,84,65
6,2020-01-26 07:25:23.593870,6,,None,ADMIN,System,-8916760.86896847,0xBDB3Bc887C3b70586BC25D04d89eC802b897fC5F,0,5026493.25,13945324.1189685,19917,52610,9,19862,0,0,0,0,0,0
7,2020-01-26 07:48:42.634466,7,male,Home,BENEFICIARY,Farming/Labour,902.5,0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72,0,500,40,2,2,1,0,458,15.5,8,4,2,2
8,2020-01-26 08:34:16.317947,8,male,Test,BENEFICIARY,Health,448,0x4AfD04b9eD17759B362c8C929207Fe7ad81C39d3,0,500,40,2,2,1,0,10,22,1,2,1,2
9,2018-10-24 08:17:32,9,male,Gatina,BENEFICIARY,Food/Water,776.689800676415,0xeFad5486432a5b4F2b31B13520b7C1393e87f531,0,721.689800676415,20,2,1,1,0,75,0,1,0,1,0
10,2018-10-24 09:05:13,10,male,Gatina,BENEFICIARY,Shop,674.378298491629,0x6687836526E5424326a270D1400618aA13540850,0,714.378298491629,40,1,2,1,0,0,0,0,0,0,0
11,2018-10-24 09:32:05,11,female,Gatina,BENEFICIARY,Food/Water,740.669887727837,0xD239dc570429CcaEE66724108Ef4cAf1ea059479,0.666666666666667,400.669887727837,0,4,0,1,0,430,90,3,4,1,1
12,2018-10-24 12:16:53,12,female,Gatina,BENEFICIARY,Shop,459.631281071096,0xD6766d6452439121293114b1B86B59007404e0a0,0,499.631281071096,40,1,2,1,0,0,0,0,0,0,0
13,2018-10-24 12:38:43,13,female,congo,BENEFICIARY,Food/Water,654.624874510032,0xaA7Fd999dC10D9F954b1EE1a4729c52105dD5FB9,0,694.624874510032,40,2,2,1,0,0,0,0,0,0,0
14,2018-10-24 12:53:33,14,female,congo,BENEFICIARY,Shop,2779.65507101567,0x7002Fde3A429FaB3a6e38FC63751B7368f6E1e8b,0,2819.65507101567,40,1,2,1,0,0,0,0,0,0,0
15,2018-10-24 13:22:44,15,female,congo,BENEFICIARY,Farming/Labour,183,0x27175679168AEA3dfaB38b34cb52720F4b96B2ed,0,223,40,1,2,1,0,0,0,0,0,0,0
16,2018-10-24 13:45:35,16,female,congo,BENEFICIARY,Farming/Labour,716.678592003977,0xfDa3ab16Ad9AE93a09fAE301e08035d1CF970D95,1,656.678592003977,40,2,2,1,0,100,0,1,0,1,0
17,2018-10-25 09:25:43,17,female,bangladesh,BENEFICIARY,Food/Water,130,0xdfe2C99A4C0EA54c0B30896eb1DEEAbb77be14aa,1,1128,18,2,1,1,0,90,1070,4,3,1,2
18,2018-10-25 10:13:51,18,female,Bangla,BENEFICIARY,Food/Water,419.5,0xE2982a6839D681C2eF73bA41364258420d6f998e,0.833333333333333,1459.5,20,5,1,1,0,3190,4210,6,12,3,4
19,2018-10-25 10:49:20,19,male,bangladesh,BENEFICIARY,Farming/Labour,392,0x7bA9716b3122eEf0A54f1f8a68833C854f3302E4,0,432,40,1,2,1,0,0,0,0,0,0,0
20,2018-10-25 11:48:18,20,male,Kangemi,BENEFICIARY,Farming/Labour,650,0x33ef718d4EF71d6b32653e372952799b97D44960,0,690,40,1,2,1,0,0,0,0,0,0,0
21,2018-10-25 12:35:59,21,female,Lindi,BENEFICIARY,Food/Water,474,0x3c77Ab27f9211E4B67d39D5A36e539521A2651C5,0,514,40,1,2,1,0,0,0,0,0,0,0
22,2018-10-25 12:52:49,22,female,congo,BENEFICIARY,Food/Water,724.484090516749,0xbbc5b9fF52C20C9a80e6DC19994Ca2D23f988631,0,864.484090516749,40,2,2,1,0,0,100,0,1,0,1
23,2018-10-25 13:30:36,23,female,Lindi,BENEFICIARY,Farming/Labour,260,0x4e2dc23FC5C6A262f7f59d762102f2eAc403fCEe,0,300,40,1,2,1,0,0,0,0,0,0,0
24,2018-10-25 13:44:17,24,female,Congo,BENEFICIARY,Food/Water,900.27492162008,0x19AD30eB4210B8e4a2DBb2c4b4Fc92cf1b6fC916,0,940.27492162008,40,1,2,1,0,0,0,0,0,0,0
25,2018-10-25 14:14:00,25,male,Lindi,BENEFICIARY,Farming/Labour,393,0xC9841919d5C438Fe366aDA25d9b2e5F6470a8265,0,433,40,1,2,1,0,0,0,0,0,0,0
26,2018-10-25 15:03:14,26,male,congo,BENEFICIARY,Shop,2053.92980078108,0x940dbBDacbe3f0b89B7Ab6b40686703374C49dE9,0,2093.92980078108,40,1,2,1,0,0,0,0,0,0,0
27,2018-10-25 15:17:48,27,female,Lindi,BENEFICIARY,Food/Water,304,0x43495495627BD39475EF96982A595CD6D16eA386,0,344,40,1,2,1,0,0,0,0,0,0,0
28,2018-10-26 07:39:46,28,male,congo,BENEFICIARY,Food/Water,245,0xd66E75ef3E7a62188b4fC1a793B8892F4fDA520C,0,285,40,1,2,1,0,0,0,0,0,0,0
29,2018-10-26 08:14:33,29,male,congo,BENEFICIARY,Food/Water,869.865024807708,0xf3D563859B4082100B895C29cbBC047B50694994,0,909.865024807708,40,1,2,1,0,0,0,0,0,0,0
30,2018-10-26 08:58:14,30,female,congo,BENEFICIARY,Food/Water,370.853053899889,0xc973068c9a2A5fA5d34C2960ac96dE772d8224d5,0,460.853053899889,40,2,2,1,0,0,50,0,1,0,1
31,2018-10-26 09:18:47,31,female,congo,BENEFICIARY,Shop,100,0x6A2B4Cf870F2a26aE5C27062F1a612812fEd8ceB,0,213,13,2,1,1,0,0,100,0,1,0,1
32,2018-10-26 09:28:26,32,male,bangladesh,BENEFICIARY,Shop,251,0xCF6eeAEa449eec60438675638AF71b73DbA4e2AE,0,291,40,1,2,1,0,0,0,0,0,0,0
33,2018-10-26 09:43:42,33,female,Lindi,BENEFICIARY,Food/Water,655.966660031204,0xA2120404a02796B6e3902cf7e0C3963A6f5A2502,0,695.966660031204,40,1,2,1,0,0,0,0,0,0,0
34,2018-10-26 10:44:12,34,male,Lindi,BENEFICIARY,Education,494,0xe34df17E703751b7fEB6711d5CB19387f0F00464,0,584,40,2,2,1,0,0,50,0,1,0,1
35,2018-10-26 11:05:56,35,male,Lindi,BENEFICIARY,Shop,4158.5,0x9e836c58337c04fe5814011e8400889c5a0E3046,0.108108108108108,578.5,20,5,1,1,0,3920,320,37,7,15,2
36,2018-10-26 11:37:48,36,male,Lindi,BENEFICIARY,Farming/Labour,1007,0x76B040153b5C908e8b91275DEa0589324d5eF56b,0.142857142857143,2147,0,2,0,1,0,190,1330,7,13,6,6
37,2018-10-26 12:22:40,37,female,congo,BENEFICIARY,Food/Water,1143,0x910fB6c5a4b2B558879CFfA41B4A2f6acbD8EF0f,0,1183,40,1,2,1,0,0,0,0,0,0,0
38,2018-10-26 12:32:19,38,female,Lindi,BENEFICIARY,Education,264,0x5445111De69738e3C01384a2864bfca300bda706,0,209,40,2,2,1,0,275,180,5,2,2,2
39,2018-10-26 12:53:23,39,female,congo,BENEFICIARY,Food/Water,613,0x50D73911de4d7Cec4AC30F9542b971B9369B09B6,0,653,40,1,2,1,0,0,0,0,0,0,0
40,2018-10-26 13:57:15,40,female,Lindi,BENEFICIARY,Farming/Labour,239,0x820558EEbDa6982CB70f4F2FD93f88498ccfeC17,0,279,40,1,2,1,0,0,0,0,0,0,0
41,2018-10-26 14:26:59,41,female,congo,BENEFICIARY,Shop,1272,0x8c0373D2645e6f0ae09a3d2Ffb87F898E4AEF465,0,1312,40,1,2,1,0,0,0,0,0,0,0
42,2018-10-29 08:41:44,42,female,Gatina,BENEFICIARY,Food/Water,364,0xBa6eBC7d0c6a3422AddB8c41aBC0Ba4A1f298D93,0,404,40,1,2,1,0,0,0,0,0,0,0
